Data,Casos confirmats per PCR/TA,PCR Fetes,TA Fets,% PCR/TA Positives,Vacunats 1a dosi,Vacunats 2a dosi,Ingressats,Defuncions,Canvi_diari,Canvi_7D,Canvi_%,Canvi_7D_%,MA_7,MA_30
01/03/2020,2,22,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
02/03/2020,5,35,1,8.33,0,0,0,0,3,0,1.5,0.0,0.0,0.0
03/03/2020,9,25,0,0.0,0,0,0,0,4,0,0.8,0.0,0.0,0.0
04/03/2020,7,29,0,3.45,0,0,0,0,-2,0,-0.22,0.0,0.0,0.0
05/03/2020,18,37,1,13.89,0,0,0,0,11,0,1.57,0.0,0.0,0.0
06/03/2020,13,57,0,3.64,0,0,0,0,-5,0,-0.28,0.0,0.0,0.0
07/03/2020,13,83,0,2.41,0,0,0,2,0,0,0.0,0.0,9.57,0.0
08/03/2020,7,53,0,7.69,0,0,0,5,-6,5,-0.46,2.5,10.29,0.0
09/03/2020,93,109,0,13.89,0,0,0,5,86,88,12.29,17.6,22.86,0.0
10/03/2020,163,335,0,19.88,0,0,0,6,70,154,0.75,17.11,44.86,0.0
11/03/2020,208,504,0,18.62,0,0,0,10,45,201,0.28,28.71,73.57,0.0
12/03/2020,362,1005,3,22.06,0,0,0,18,154,344,0.74,19.11,122.71,0.0
13/03/2020,557,1954,0,17.07,0,0,0,30,195,544,0.54,41.85,200.43,0.0
14/03/2020,358,1735,0,18.51,0,0,0,45,-199,345,-0.36,26.54,249.71,0.0
15/03/2020,483,1574,0,29.99,0,0,0,46,125,476,0.35,68.0,317.71,0.0
16/03/2020,1330,2259,0,31.08,0,0,0,46,847,1237,1.75,13.3,494.43,0.0
17/03/2020,1137,2609,0,31.45,0,0,0,59,-193,974,-0.15,5.98,633.57,0.0
18/03/2020,1369,3047,0,33.23,0,0,0,82,232,1161,0.2,5.58,799.43,0.0
19/03/2020,1456,3496,0,38.17,0,0,0,88,87,1094,0.06,3.02,955.71,0.0
20/03/2020,1636,3640,0,40.92,0,0,0,110,180,1079,0.12,1.94,1109.86,0.0
21/03/2020,1068,2934,0,43.73,0,0,0,123,-568,710,-0.35,1.98,1211.29,0.0
22/03/2020,968,2374,0,44.85,0,0,0,155,-100,485,-0.09,1.0,1280.57,0.0
23/03/2020,2324,3718,0,43.05,0,0,0,209,1356,994,1.4,0.75,1422.57,0.0
24/03/2020,1939,4418,0,45.24,0,0,0,235,-385,802,-0.17,0.71,1537.14,0.0
25/03/2020,1828,4407,0,43.18,0,0,0,272,-111,459,-0.06,0.34,1602.71,0.0
26/03/2020,1829,4515,0,45.7,0,0,0,310,1,373,0.0,0.26,1656.0,0.0
27/03/2020,1640,4522,0,41.18,0,0,0,342,-189,4,-0.1,0.0,1656.57,0.0
